country,province,city,updatedAt,stats,coordinates
US,Georgia,Bartow,2020-03-23 23:19:34,"{'confirmed': '61', 'deaths': '1', 'recovered': '0'}","{'latitude': '34.23732119', 'longitude': '-84.83887523'}"
US,Texas,Bastrop,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '30.10370699', 'longitude': '-97.31206354'}"
US,Missouri,Bates,2020-03-23 23:19:34,"{'confirmed': '1', 'deaths': '0', 'recovered': '0'}","{'latitude': '38.25271289', 'longitude': '-94.34113157'}"
US,Kentucky,Bath,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '38.14735938', 'longitude': '-83.74588932'}"
US,Virginia,Bath,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '38.05852573', 'longitude': '-79.73912095'}"
US,Arkansas,Baxter,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '36.28784385', 'longitude': '-92.33782872'}"
US,Florida,Bay,2020-03-23 23:19:34,"{'confirmed': '1', 'deaths': '0', 'recovered': '0'}","{'latitude': '30.26548745', 'longitude': '-85.62122584'}"
US,Michigan,Bay,2020-03-23 23:19:34,"{'confirmed': '2', 'deaths': '0', 'recovered': '0'}","{'latitude': '43.70639106', 'longitude': '-83.98731479'}"
US,Wisconsin,Bayfield,2020-03-23 23:19:34,"{'confirmed': '1', 'deaths': '0', 'recovered': '0'}","{'latitude': '46.52868768', 'longitude': '-91.19716729'}"
US,Texas,Baylor,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '33.61640794', 'longitude': '-99.21352901'}"
US,South Dakota,Beadle,2020-03-23 23:19:34,"{'confirmed': '12', 'deaths': '0', 'recovered': '0'}","{'latitude': '44.41464384', 'longitude': '-98.27858469'}"
US,Idaho,Bear Lake,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '42.28269683', 'longitude': '-111.32892379999998'}"
US,North Carolina,Beaufort,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '35.48531943', 'longitude': '-76.84325809'}"
US,South Carolina,Beaufort,2020-03-23 23:19:34,"{'confirmed': '21', 'deaths': '0', 'recovered': '0'}","{'latitude': '32.39226291', 'longitude': '-80.72619758'}"
US,Louisiana,Beauregard,2020-03-23 23:19:34,"{'confirmed': '1', 'deaths': '0', 'recovered': '0'}","{'latitude': '30.64836518', 'longitude': '-93.34173616'}"
US,Oklahoma,Beaver,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '36.7496847', 'longitude': '-100.4758872'}"
